code;label
000;Stage-1~3: General
010;Stage-1: Feasibility and Concept Formulation
020;Stage-2: Preliminary Design (pre contract award)
030;Stage-3: Tender Preparation, Award & Contract
040;Stage-4: Post Contract - General
041;Stage-4: Post Contract - Design Phase 1 (DCP1)
042;Stage-4: Post Contract - Design Phase 2 (DCP2)
043;Stage-4: Post Contract - Design Phase 3 (DCP3)
044;Stage-4: Post Contract - Design Phase 4 (DCP4)
045;Stage-4: Post Contract - Manufacturing
046;Stage-4: Post Contract - Construction/Installation
047;Stage-4: Post Contract - Test & Commissioning
048;Stage-4: Post Contract - As-Built
050;Stage-5: Defects Liability Period
