code;label;loc_type;center_point;start_point;end_point;length;remarks;part_of
+1.LS;Red Line;Line Section;;88292;140266;;;
+2.LS;Green Line;Line Section;;83777;106248;;;
+3.LS;EXPO Line;Line Section;;286270;301225;;;
+3.ST.38;Nakheel Harbour & Tower;Point;287267;;;;;
+3.ST.01;Discovery Gardens;Point;289299;;;;;
+3.ST.02;Mushrif Mall;Point;290683;;;;;
+3.ST.03;Al Furjan;Point;291567;;;;;
+3.ST.04;Jumeirah Golf Estates;Point;293492;;;;;
+3.ST.05;Dubai Investment Park;Point;295079;;;;;
+3.ST.06;(Future Station);Point;297560;;;;;
+3.ST.07;EXPO 2000;Point;300000;;;;;
+2.ST.11;Etisalat;Point;83787;;;;;
+2.ST.12;Al Qusais;Point;85408;;;;;
+2.ST.13;Dubai Airport Free Zone;Point;86899;;;;;
+2.ST.14;Al Nahda;Point;87581;;;;;
+2.ST.15;Stadium;Point;88509;;;;;
+2.ST.16;Al Qiyadah;Point;89562;;;;;
+2.ST.17;Abu Hail;Point;90309;;;;;
+2.ST.18;Abu Baker Al Siddique;Point;91797;;;;;
+2.ST.19;Salah Al Din;Point;92997;;;;;
+2.ST.20;Union;Point;93924;;;;;
+2.ST.21;Baniyas Square;Point;94760;;;;;
+2.ST.22;Palm Deira;Point;96003;;;;;
+2.ST.23;Al Ras;Point;97177;;;;;
+2.ST.24;Al Ghubaiba;Point;97843;;;;;
+2.ST.25;Al Fahidi;Point;99192;;;;;
+2.ST.26;BurJuman;Point;100000;;;;;
+2.ST.27;Oud Metha;Point;101804;;;;;
+2.ST.28;Health Care City;Point;103699;;;;;
+2.ST.29;Al Jadaf;Point;105092;;;;;
+2.ST.30;Creek;Point;105946;;;;;
+1.ST.11;Rashidiya;Point;88788;;;;;
+1.ST.12;Emirates;Point;91656;;;;;
+1.ST.13;Airport Terminal 3;Point;92421;;;;;
+1.ST.14;Airport Terminal 1;Point;93231;;;;;
+1.ST.15;GGICO (Gulf General Investment Company);Point;94536;;;;;
+1.ST.16;Deira City Centre;Point;95950;;;;;
+1.ST.17;Al Rigga;Point;97222;;;;;
+1.ST.18;Union;Point;98406;;;;;
+1.ST.19;BurJuman;Point;100000;;;;;
+1.ST.20;ADCB (Abu Dhabi Commercial Bank);Point;101300;;;;;
+1.ST.21;Al Jafiliya;Point;102652;;;;;
+1.ST.22;World Trade Centre;Point;103887;;;;;
+1.ST.23;Emirates Towers;Point;104874;;;;;
+1.ST.24;Financial Centre;Point;105685;;;;;
+1.ST.25;Burj Khalifa / Dubai Mall;Point;106925;;;;;
+1.ST.26;Business Bay;Point;108381;;;;;
+1.ST.29;Noor Bank;Point;113472;;;;;
+1.ST.31;First Gulf Bank (FGB);Point;117322;;;;;
+1.ST.32;Mall of the Emirates;Point;118288;;;;;
+1.ST.33;Sharaf DG;Point;119483;;;;;
+1.ST.34;Dubai Internet City;Point;121714;;;;;
+1.ST.35;Nakheel;Point;123877;;;;;
+1.ST.36;Damac Properties;Point;125330;;;;;
+1.ST.37;Jumeirah Lakes Towers;Point;126681;;;;;
+1.ST.38;Nakheel Harbour & Tower;Point;128519;;;;;
+1.ST.39;Ibn Battuta;Point;130132;;;;;
+1.ST.40;Energy;Point;132948;;;;;
+1.ST.41;Danube;Point;135787;;;;;
+1.ST.42;UAE Exchange;Point;138464;;;;;
