code;alt_code;curr_name;prev_name;transfer;note
BUR;;BurJuman;Khalid Bin Al Waleed;TRUE;
E01;;Discovery Gardens;;FALSE;
E02;;Mushrif Mall;;FALSE;
E03;;Al Furjan;;FALSE;
E04;;Jumeirah Golf Estates;;FALSE;
E05;DIP;Dubai Investment Park;;FALSE;
E07;;EXPO 2000;;FALSE;
QS2;;Etisalat;Al Qusais 2;FALSE;
QS1;;Al Qusais;Al Qusais 1;FALSE;
AFZ;;Dubai Airport Free Zone;Airport Free Zone;FALSE;
NJD;;Al Nahda;;FALSE;
STD;;Stadium;;FALSE;
QYD;;Al Qiyadah;;FALSE;
ABH;;Abu Hail;;FALSE;
ABS;;Abu Baker Al Siddique;;FALSE;
SDN;;Salah Al Din;;FALSE;
USQ;;Union;Union Square;TRUE;
BSQ;;Baniyas Square;;FALSE;
PMD;;Palm Deira;;FALSE;
RAS;;Al Ras;;FALSE;
GUB;;Al Ghubaiba;;FALSE;
KBW;;Al Fahidi;Khalid Bin Al Waleed;FALSE;
ODM;;Oud Metha;;FALSE;
HCC;;Health Care City;;FALSE;
JDF;;Al Jadaf;;FALSE;
CRK;;Creek;;FALSE;
NHT;JIS;Nakheel Harbour & Tower;Jumeirah Islands;TRUE;Future Exchange Red/Expo Line
RSH;;Rashidiya;;FALSE;
EMI;;Emirates;Umm Ramool;FALSE;
AT3;;Airport Terminal 3;;FALSE;
AT1;;Airport Terminal 1;;FALSE;
GAR;;GGICO (Gulf General Investment Company);Al Garhoud;FALSE;
DCC;;Deira City Centre;Port Saeed;FALSE;
RIG;;Al Rigga;;FALSE;
KAR;;ADCB (Abu Dhabi Commercial Bank);Al Karama;FALSE;
JAF;;Al Jafiliya;;FALSE;
WTC;;World Trade Centre;;FALSE;
EMT;;Emirates Towers;;FALSE;
FIC;;Financial Centre;Financial City;FALSE;
BJD;;Burj Khalifa / Dubai Mall;Burj Dubai;FALSE;
BSB;;Business Bay;Al Wasl;FALSE;
QUZ;;Noor Bank;Al Quoz;FALSE;
BJA;;First Gulf Bank (FGB);Burj Al Arab;FALSE;
MOE;;Mall of the Emirates;;FALSE;
BAR;;Sharaf DG;Al Barsha'a;FALSE;
TEC;;Dubai Internet City;Tecom;FALSE;
NAK;;Nakheel;University;FALSE;
MAR;;Damac Properties;Marina;FALSE;
JLT;;Jumeirah Lakes Towers;Marina;FALSE;
IBB;;Ibn Battuta;;FALSE;
DBL;;Energy;Dubal (Investment Park);FALSE;
JAI;;Danube;Jebel Ali Industrial;FALSE;
JBA;;UAE Exchange;Jebel Ali, Jafza – Limitless;FALSE;
