code;label;loc_type;center_point;start_point;end_point;length;remarks;part_of
+1.RC;Road Crossings (r/c);Label;;;;;;
+1.RC.01;Rismarksvej r/c Ruggårdsvej;Line Section;;100059.881;100089.62;;#TLC;
+1.RC.02;Rismarksvej r/c Saxovej;Line Section;;100164.019;100177.059;;#TLC;
+1.RC.04;Rismarksvej / Højstrupvej r/c;Line Section;;100841;100861.948;;#TLC;
+1.RC.05;Høstrupvej r/c Uffesvej;Line Section;;101112.139;101131.839;;#TLC;
+1.RC.07;Højstrupvej Roundabout Møllemarksvej;Line Section;;101364.112;101381;;#TLC;
+1.RC.08;Højstrupvej / Stadionvej r/c;Line Section;;101723.486;101760;;#TLC;
+1.RC.09;Stadionvej / MIddelfartvej r/c;Line Section;;101968.218;101989.93;;#TLC;
+1.RC.10;Middelfartvej r/c Christmas Møllers Vej / Roesskovsvej;Line Section;;102299.68;102329.9;;#TLC;
+1.RC.12;Middelfartvej / Vesterbro r/c Grønløkkevej;Line Section;;102866.942;102923.399;;#TLC;
+1.RC.13;Vesterbro / Vestre Stationsvej r/c;Line Section;;103074.765;103097.506;;#TLC;
+1.RC.14;Vestre Stationsvej r/c Store Glasvej;Line Section;;103248.131;103257.605;;#TLC;
+1.RC.15;Vestre Stationsvej r/c Krudthusgade;Line Section;;103330.373;103336.326;;#TLC;
+1.RC.17;Vestre Stationsvej r/c Odinsgade / Fjordsgade;Line Section;;103604.393;103613.507;;#TLC;
+1.RC.20;Østre Stationsvej r/c Klostervej;Line Section;;104026.012;104036.002;;#TLC;
+1.RC.21;Østre Stationsvej r/c Hans Tausens Gade;Line Section;;104097.245;104103.858;;#TLC;
+1.RC.22;Østre Stationsvej r/c Jernbanegade;Line Section;;104231.177;104255.011;;#TLC;
+1.RC.24;Østre Stationsvej r/c Banegårdspladsen;Line Section;;104540.225;104553.902;;#TLC;
+1.RC.25;Østre Stationsvej r/c Nørregade;Line Section;;104619.39;104640;;#TLC;
+1.RC.33;Albanigade r/c Karen Brahes Vej;Line Section;;105429.426;105436.705;;#TLC;
+1.RC.35;Albanigade r/c Tværgade;Line Section;;105579.264;105586.483;;#TLC;
+1.RC.36;Albanigade r/c Tinghusgade;Line Section;;105636.467;105655.543;;#TLC;
+1.RC.38;Albanigade / Benediktsgade r/c;Line Section;;105788.611;105812.703;;#TLC;
+1.RC.39;Benediktsgade r/c Bjergegade;Line Section;;105926.6;105941.1;;#TLC;
+1.RC.40;Benediktsgade / Nyborgvej r/c Frederiksgade / Rødegårdsvej;Line Section;;106116.214;106151.315;;#TLC;
+1.RC.42;Nyborgvej r/c Palnatokesvej / Reventlowsvej;Line Section;;106398.993;106405.881;;#TLC;
+1.RC.43;Nyborgvej r/c Eriksgade / Nansensgade;Line Section;;106732.404;106760;;#TLC;
+1.RC.44;Nyborgvej r/c Ejby Møllevej / Østerbæksvej;Line Section;;107041.52;107072.599;;#TLC;
+1.RC.46;Nyborgvej / Ørbækvej r/c Ejbyvej;Line Section;;107461.789;107495.47;;#TLC;
