code;description;sort_code
2D;Two-Dimensional;2d
3D;Three-Dimensional;3d
AAQC;Ambient Air Quality Criteria;aaqc
ABWF;Architectural Builder's Works and Finishes;abwf
AC;Alternating Current;ac
AC;Acceptance Certificate;ac
ACDB;AC Distribution Board;acdb
ACM;Asbestos Containing Materials;acm
ACM;Axle Counter Module;acm
ACMV;Air Conditioning and Mechanical Ventilation;acmv
ACS;Access Control System;acs
ACP;Asset Classification and Protection;acp
AD;Active Directory;ad
AEK;Auftragseingangskalkulation (German: Order Intake Calculation, Costing for Orders Received);aek
AFR;Accident Frequency Rate;afr
ALARP;As low as reasonably practicable;alarp
a.m.;ante meridian (Latin: before noon);am
AM;Automatic Mode;am
AM;ante meridian (Latin: before noon)(preferred: a.m.);am
AMH;Acceptable Maximum Headway;amh
AP;Access Point;ap
ARS;Automatic Route Setting;ars
ART;Actual Repair Time;art
AS;Australian Standard;as
ATC;Automatic Train Control;atc
ATK;Actual Train Kilometres;atk
ATM;Automated Teller Machine;atm
ATO;Automatic Train Operation;ato
ATP;Automatic Train Protection;atp
ATR;Automatic Train Route;atr
ATRG;Automatic Train Regulation;atrg
ATS;Automatic Train Supervision;ats
ATT;Automatic Train Tracking;att
ATTR;Actual Time to Repair;attr
ATW;Automatic Train Wash;atw
AVM;Add Value Machine;avm
AW;Assigned Weight;aw
BACS;Building Automation and Control System;bacs
BCS;Building Control System;bcs
BIIP;Best International Industry Practice;biip
BIM;Building Information Modeling;bim
BLE;Bluetooth Low Energy (Bluetooth Smart);ble
BMS;Building Management System;bms
BP;Building Plan;bp
BPS;Bulk Power Supply;bps
BPS;Bulk Power Substation;bps
BS;British Standard;bs
BS;Business Segment;bs
BUEES;Bogie and Underframe Exchange System;buees
B&W;Black and White;bw
CAD;Computer-Aided Design;cad
CB;Circuit Breaker;cb
CBD;Convention on Biological Diversity;cbd
CBI;Computer-Based Interlocking;cbi
CBN;Common Bonding Network;cbn
CBR;California Bearing Ration;cbr
CBS;Cost Breakdown Structure;cbs
CBTC;Communication-Based Train Control;cbtc
C&C;Cut and Cover;cc
CCB;Change Control Board;ccb
CCRB;Contractors Construction Rule Book;ccrb
CCTV;Closed-Circuit Television;cctv
CDE;Common Data Environment;cde
CDI;Command and Display Interface;cdi
CE;Conformité Européenne (European Conformity);ce
CED;Contract Effective Date;ced
CEO;Chief Executive Officer;ceo
CFD;Computational Fluid Dynamic;cfd
CFO;Chief Financial Officer;cfo
CIA;Central Intelligence Agency;cia
CIE;Civil Infrastructure Engineer;cie
CLK;Clock;clk
CM;Corrective Maintenance;cm
CNC;Computer Numerical Control;cnc
CO2;Carbon Dioxide;co2
COO;Chief Operation Officer;coo
COSHH;Control of Substances Hazardous to Health;coshh
COTS;Commercial Off-the-Shelf;cots
COM;Commissioning Manager;com
CR;Construction Reinforcement;cr
CRE;Chances, Risks, Events;cre
CRM;Customer Relationship Management;crm
CRN;Calculated Railway Noise;crn
CSA;Customer Service Area;csa
CSD;Combined Service Drawing;csd
CSD;Contract Signature Date;csd
CSI;Common Safety Indicators;csi
CSM;Common Safety Method;csm
CSM;Central Systems Management;csm
CSR;Central System Router;csr
CST;Common Safety Target;cst
CTO;Chief Technical Officer;cto
CV;Curriculum Vita;cv
CWR;Continuously Welded Rail;cwr
D&B;Design and Build;db
Dba;Decibels;dba
DBI;Deutsche Bahn International (German: German Railroad International);dbi
DC;Direct Current;dc
DC;Data Center;dc
DCDB;DC Distribution Board;dcdb
DEP;Depot;dep
DI;Degree of Implementation;di
DMZ;Demilitarized Zone;dmz
DNS;Domain Name System;dns
DoC;Declaration of Conformity;doc
DOORS;Dynamic Object Oriented Requirements System;doors
DPS;Data Preparation System;dps
DRACAS;Data Reporting and Corrective Action System;dracas
DRN;Delivery Release Notification;drn
DRN;Drainage;drn
Drwg;Drawing;drwg
DT;System Down Time;dt
DTN;Data Transmission Network;dtn
DTR;Delayed Train Runs;dtr
DVC;Design Verification Certificate;dvc
DVD;Digital Versatile Disk;dvd
DVE;Design Verification Engineer;dve
DVMS;Digital Video Management System;dvms
DWA;Designated Waiting Area;dwa
EA;European co-operation for Accreditation;ea
EA;Engineer's Assistant;ea
EAC;Estimate at Completion;eac
EAL;Exposure Action Level;eal
E&B;Earthing and Bonding;eb
EB;Emergency Braking;eb
EBB;Earthing Bus Bar;ebb
EBDC;Emergency Brake Deceleration Curve;ebdc
EBIC;Emergency Brake Intervention Curve;ebic
EC;Emergency Call;ec
EC;Earthing Cable;ec
EC;European Commission;ec
ECA;Export Credit Agency;eca
ECC;Export Credit Coverage;ecc
ECC;Emergency Control Center;ecc
ECS;Emergency Call System;ecs
EDMS;Electronic Document Management System;edms
EDP;Emergency Driving Position;edp
EDP;Emergency Driver Position;edp
EEBADS;Earthed Equipotential Bonding and Automatic Disconnection of Supply;eebads
EED;Emergency Evacuation Doors;eed
EED;Emergency Escape Door;eed
EFA;Entwicklung, Förderung, Anerkennung (German: Development, Promotion, Recognition)
EFT;Electronic Funds Transfer;eft
EHS;Environment, Health and Safety;ehs
EHS;Environmental Protection, Health Management and Safety;ehs
EHSMiP;EHS Manager in Projects;ehsmip
EHV;Extra-High-Voltage;ehv
EIA;Environmental Impact Assessment;eia
ELCB;Earth Leakage Circuit Breakers;elcb
EM;Electromagnetic;em
EMC;Electromagnetic Compatibility;emc
EMEA;Europe, Middle East, Africa (market area);emea
EMF;Electromagnetic Field;emf
EMI;Electro-Magnetic Interference;emi
EMP;Environmental Management Plan;emp
EMS;Environmental Management System;ems
EMS;Energy Management Systems;ems
EMU;Electrical Multiple Unit (electrically powered train);emu
EN;European Norm;en
EP;Electro-Pneumatic;ep
EPC;Engineering, Procurement, Construction;epc
ERP;Enterprise Resource Planning;erp
ERTMS;European Rail Traffic Management System;ertms
ESP;Emergency Stop Plunger;esp
ETA;Event Tree Analysis;eta
ETA;European Technical Approval;eta
ETCS;European Train Control System;etcs
ETEL;Emergency Telephone;etel
EVA;Emergency Vehicle Access;eva
EVMS;Earned Value Management System;evms
EXIF;Exchangeable Image File;exif
FAC;Factory Acceptance Certificate;fac
FAC;Final Acceptance Certificate;fac
FAI;First Article Inspection;fai
FALKO;Fahrplan-Validierung und -Konstruktion (German: a tool for time table validation and construction);falko
FAT;Factory Acceptance Test;fat
FDD;Frequency Division Duplexing;fdd
FDS;Fire Detection System;fds
FEA;Finite Element Analysis;fea
FMEA;Failure Mode and Effects Analysis;fmea
FMECA;Failure Mode, Effects and Criticality Analysis;fmeca
FOPS;Falling Objects Protection Structure;fops
FRACAS;Failure Recording Analysis and Corrective Action System;fracas
FRG;Financial Reporting Guidelines;frg
FTA;Fault Tree Analysis;fta
GAESC;Generic Application Safety Case;gaesc
GAR;Geotechnical Appraisal Report;gar
GASC;Generic Application Safety Case;gasc
GCS;Graphical Configuration System;gcs
GFR;Geotechnical Factual Report;gfr
GGBFS;Ground Granulated Blast Furnace Slag;ggbfs
GIR;Geotechnical Interpretation Report;gir
GIS;Geographic Information System;gis
GIS;Gas-Insulated Switchgear;gis
GLC;General Logistics Coordinator;glc
GmbH;Gesellschaft mit beschränkter Haftung (German: Limited/Private Liability Company);gmbh
GoA;Grade of Automation;goa
GPO;General Purpose Outlet;gpo
GPS;Global Positioning System;gps
GRP;Glass-Fibre Reinforced Plastic;grp
GSAS;Global Sustainability Assessment System;gsas
GSM;Global System for Mobile Communication;gsm
GSM-R;Global System for Mobile Communication - Railway;gsmr
GTT;GCS Templates Tool;gtt
GUI;Graphical User Interface;gui
ha;Hectare;ha
HDV;Heavy Duty Vehicle;hdv
HGV;Heavy Goods Vehicle;hgv
HM;Homologation Manager;hm
HMI;Human-Machine Interface;hmi
HMSS;Heavy Mass-Spring System;hmss
HQ;Headquarters;hq
HR;Human Resources;hr
HRB;High Resilient Base Plate;hrb
HRF;High Resilient Fastener;hrf
HRR;Heat Release Rate;hrr
H&S;Health and Safety;hs
HSCB;High-Speed Circuit Breaker;hscb
HSE;Health, Safety and Environment;hse
HSL;High Speed Line;hsl
HSSE;Health, Safety, Security and Environment;hsse
HV;High Voltage;hv
HVAC;Heating, Ventiliation and Air Conditioning;hvac
HVD;High Voltage Distribution;hvd
HWTC;Hazardous Waste Treatment Centre;hwtc
Hz;Hertz;hz
IAF;International Accreditation Forum;iaf
IBDAS;In-Building Distributed Antenna System;ibdas
ICC;Integrated Control Center;icc
ICD;Interface Control Document;icd
ICT;Information & Communication Technology;ict
ID;Identification;id
ID;Identifier;id
IDC;Interdisciplinary Design Check;idc
IDD;International Direct Dialling;idd
IDP;Integrative Design Process;idp
IDS;Intrusion Detection System;ids
IDT;Incident Detection Time;idt
IFBT;Integrated Factory Bench Test;ifbt
IFC;Issued for Construction;ifc
IFC;International Finance Coorporation;ifc
IFL;Interface Leader;ifl
IFP;Interface Partner;ifp
IFM;Interface Management;ifm
IHA;Interface Hazard Analysis;iha
ILPA;Interim Logistics and Production Area;ilpa
IMAPP;Integrated Management and Project Planning;imapp
INFRA;Infrasture Project Manager;infra
IP;Internet Protocol;ip
IP;Ingress Protection;ip
IPP;Independent Power Producer;ipp
IPR;Intellectual Property Rights;ipr
