code;label;active;master;standard;heading;note
=B;Building Engineering;TRUE;TRUE;TRUE;FALSE;
=BA;Heating, Ventilation, Air Conditioning;TRUE;TRUE;TRUE;FALSE;
=BB;Hygiene, Waste Water Disposal;TRUE;TRUE;TRUE;FALSE;
=BC;Transport of People;TRUE;TRUE;TRUE;FALSE;
=BD;Fire Fighting Systems;TRUE;TRUE;TRUE;FALSE;
=BF;Drainage and Flood Protection;TRUE;TRUE;TRUE;FALSE;
=BG;Gas Supply System;TRUE;TRUE;TRUE;FALSE;
=BS;Graphics and Signage;TRUE;TRUE;TRUE;FALSE;
=BT;Energy Supply;TRUE;TRUE;TRUE;FALSE;
=BU;Platform Screen Doors;TRUE;TRUE;TRUE;FALSE;
=BV;Baggage Handling System;TRUE;TRUE;TRUE;FALSE;
=BW;Building Security Equipment;TRUE;TRUE;TRUE;FALSE;
=BZ;Other Electrical and Mechanical Systems;TRUE;TRUE;TRUE;FALSE;
=C;Buildings and External Equipment;TRUE;TRUE;TRUE;FALSE;
=CA;Stations and Stops;TRUE;TRUE;TRUE;FALSE;
=CB;Depots;TRUE;TRUE;TRUE;FALSE;
=CC;Technical Buildings;TRUE;TRUE;TRUE;FALSE;
=CD;Administrative Buildings;TRUE;TRUE;TRUE;FALSE;
=CE;Infrastructure;TRUE;TRUE;TRUE;FALSE;
=CF;Infrastructure Elevated Railway;TRUE;TRUE;TRUE;FALSE;
=D;Depot and Workshop Equipment;TRUE;TRUE;TRUE;FALSE;
=DA;Measuring and Testing;TRUE;TRUE;TRUE;FALSE;
=DB;Cranes and Elevators;TRUE;TRUE;TRUE;FALSE;
=DC;Cleaning, Surface Treatment;TRUE;TRUE;TRUE;FALSE;
=DD;Store and Equipment;TRUE;TRUE;TRUE;FALSE;
=DE;Supply and Disposal of Material;TRUE;TRUE;TRUE;FALSE;
=DF;Transport and Handling;TRUE;TRUE;TRUE;FALSE;
=DG;Machines and Tools;TRUE;TRUE;TRUE;FALSE;
=DJ;Infrastructure;TRUE;TRUE;TRUE;FALSE;
=DH;Protection and Rescue;TRUE;TRUE;TRUE;FALSE;
=DK;Furniture for Work Areas;TRUE;TRUE;TRUE;FALSE;
=E;Training Facilities;TRUE;TRUE;TRUE;FALSE;
=F;Fare Collection Management;TRUE;TRUE;TRUE;FALSE;
=FA;System Functions;TRUE;TRUE;TRUE;FALSE;
=FB;Server;TRUE;TRUE;TRUE;FALSE;
=FC;Equipment;TRUE;TRUE;TRUE;FALSE;
=K;Communication;TRUE;TRUE;TRUE;FALSE;
=KA;Communication Systems;TRUE;TRUE;TRUE;FALSE;
=KB;Information Systems;TRUE;TRUE;TRUE;FALSE;
=KC;Safety Systems;TRUE;TRUE;TRUE;FALSE;
=KD;Network Supervision;TRUE;TRUE;TRUE;FALSE;
=KE;Communication Base System;TRUE;TRUE;TRUE;FALSE;
=M;Maintenance Facilities;TRUE;TRUE;TRUE;FALSE;
=P;Railway Electrification;TRUE;TRUE;TRUE;FALSE;
=PA;Traction Power Supply;TRUE;TRUE;TRUE;FALSE;
=PB;Overhead Contact Line;TRUE;TRUE;TRUE;FALSE;
=PC;Conductor Rail;TRUE;TRUE;TRUE;FALSE;
=PD;Station Service Substation;TRUE;TRUE;TRUE;FALSE;
=R;Rolling Stock;TRUE;TRUE;TRUE;FALSE;
=S;Signalling and Controlling;TRUE;TRUE;TRUE;FALSE;
=SA;Operations Control;TRUE;TRUE;TRUE;FALSE;
=SB;Route Protection;TRUE;TRUE;TRUE;FALSE;
=SC;Train Protection;TRUE;TRUE;TRUE;FALSE;
=SE;Train Formation Yards;TRUE;TRUE;TRUE;FALSE;
=SS;Standardized System;TRUE;TRUE;TRUE;FALSE;
=ST;Operation Control System;TRUE;TRUE;TRUE;FALSE;
=T;Track;TRUE;TRUE;TRUE;FALSE;
=TA;Line Earth Works;TRUE;TRUE;TRUE;FALSE;
=TB;Civil Engineering Works;TRUE;TRUE;TRUE;FALSE;
=TC;Track Substructure;TRUE;TRUE;TRUE;FALSE;
=TD;Track Superstructure;TRUE;TRUE;TRUE;FALSE;
=TE;Infrastructure;TRUE;TRUE;TRUE;FALSE;
