date_from;date_until;country_name;region_name;description;work
2016-11-16;;GER;SN;Buß- und Bettag (German: Day of Repentance and Prayer);0
2016-12-02;;ARE;;National Day;0
2016-12-08;;AUT;;Mariä Empfängnis (German: Immaculate Conception);0
2016-12-12;;ARE;;Mouloud (Prophet's Birthday, est.);0
2016-12-18;;QAT;;National Day;0
2016-12-25;2016-12-26;AUT;;Christtag/Stephanitag (German: Christmas);0
2016-12-25;2016-12-26;GER;;Weihnachten (German: Christmas);0
2016-12-25;;QAT;;Christmas Day;0
2017-01-01;;ARE;;New Year's Day;0
2017-01-01;;AUT;;Neujahr (German: New Year's Day);0
2017-01-01;;GER;;Neujahrstag (German: New Year's Day);0
2017-01-01;;QAT;;New Year's Day;0
2017-01-06;;AUT;;Heilige Drei Könige (German: Epiphany);0
2017-01-06;;GER;BW;Heilige Drei Könige (German: Epiphany);0
2017-01-06;;GER;BY;Heilige Drei Könige (German: Epiphany);0
2017-01-06;;GER;ST;Heilige Drei Könige (German: Epiphany);0
2017-02-14;;QAT;;National Sports Day;0
2017-03-05;;QAT;;Bank Holiday;0
2017-04-14;;GER;;Karfreitag (German: Good Friday);0
2017-04-16;2017-04-17;AUT;;Ostern (German: Easter);0
2017-04-16;2017-04-17;GER;;Ostern (German: Easter);0
2017-04-16;;QAT;;Easter Sunday;0
2017-04-24;;ARE;;Leilat al Mi'raj (Ascension of the Prophet, est.);0
2017-05-01;;AUT;;Staatsfeiertag (German: International Workers' Day);0
2017-05-01;;GER;;Tag der Arbeit (German: International Workers' Day);0
2017-05-25;;AUT;;Christi Himmelfahrt (German: Feast of the Ascension);0
2017-05-25;;GER;;Christi Himmelfahrt (German: Feast of the Ascension);0
2017-05-27;;ARE;;First of Ramadan (est.);100
2017-05-27;;KSA;;First of Ramadan (est.);100
2017-05-27;;QAT;;First of Ramadan (est.);100
2017-06-04;2017-06-05;AUT;;Pfingsten (German: Pentecost);0
2017-06-04;2017-06-05;GER;;Pfingsten (German: Pentecost);0
2017-06-15;;AUT;;Fronleichnam (German: Feast of Corpus Christi);0
2017-06-15;;GER;BW;Fronleichnam (German: Feast of Corpus Christi);0
2017-06-15;;GER;BY;Fronleichnam (German: Feast of Corpus Christi);0
2017-06-15;;GER;HE;Fronleichnam (German: Feast of Corpus Christi);0
2017-06-15;;GER;NW;Fronleichnam (German: Feast of Corpus Christi);0
2017-06-15;;GER;RP;Fronleichnam (German: Feast of Corpus Christi);0
2017-06-15;;GER;SL;Fronleichnam (German: Feast of Corpus Christi);0
2017-06-23;2017-06-29;KSA;;Eid Al Fitr (End of Ramadan, est.);0
2017-06-24;2017-06-29;ARE;;Eid al Fitr (End of Ramadan, est.);0
2017-06-25;2017-06-27;QAT;;Eid al-Fitr (End of Ramadan, est.);0
2017-08-15;;AUT;;Mariä Himmelfahrt (German: Assumption of Mary);0
2017-08-15;;GER;SL;Mariä Himmelfahrt (German: Assumption of Mary);0
2017-08-15;;QAT;;Krishna Janmastami;0
2017-08-30;2017-09-01;QAT;;Eid al-Adha (Grand Bairam/Feast of Sacrifice, est.);0
2017-08-30;2017-09-05;KSA;;Eid Al Adha (Hajj Holiday, est.);0
2017-09-01;2017-09-03;ARE;;Eid al-Adha (Feast of the Sacrifice, est.);0
2017-09-21;;ARE;;Al Hijra (Islamic New Year, est.);0
2017-10-03;;GER;;Tag der Deutschen Einheit (German: Day of German Unity);0
2017-10-26;;AUT;;Nationalfeiertag (German: National Holiday);0
2017-10-31;;GER;;Reformationstag (German: Reformation Day);0
2017-11-01;;AUT;;Allerheiligen (German: All Saints' Day);0
2017-11-01;;GER;BW;Allerheiligen (German: All Saints' Day);0
