date_from;date_until;country_name;region_name;description;work
2016-12-12;;ARE;;Mouloud (Prophet's Birthday, est.);0
2017-01-01;;ARE;;New Year's Day;0
2017-04-24;;ARE;;Leilat al Mi'raj (Ascension of the Prophet, est.);0
2017-05-27;;ARE;;First of Ramadan (est.);100
2017-06-24;2017-06-29;ARE;;Eid al Fitr (End of Ramadan, est.);0
2017-09-01;2017-09-03;ARE;;Eid al-Adha (Feast of the Sacrifice, est.);0
2017-09-21;;ARE;;Al Hijra (Islamic New Year, est.);0
2017-12-01;;ARE;;Mouloud (Prophet's Birthday, est.);0
2017-12-02;;ARE;;National Day;0
2018-01-01;;ARE;;New Year's Day;0
2018-04-13;;ARE;;Leilat al Mi'raj (Ascension of the Prophet, est.);0
2018-05-16;;ARE;;First of Ramadan (est.);100
2018-06-14;2018-06-19;ARE;;Eid al Fitr (End of Ramadan, est.);0
2018-08-21;2018-08-23;ARE;;Eid al-Adha (Feast of the Sacrifice, est.);0
2018-09-11;;ARE;;Al Hijra (Islamic New Year, est.);0
2018-11-21;;ARE;;Mouloud (Prophet's Birthday, est.);0
2018-12-02;;ARE;;National Day;0
2019-01-01;;ARE;;New Year's Day;0
2019-04-03;;ARE;;Leilat al Mi'raj (Ascension of the Prophet, est.);0
2019-05-06;;ARE;;First of Ramadan (est.);100
2019-06-03;2019-06-08;ARE;;Eid al Fitr (End of Ramadan, est.);0
2019-08-11;2019-08-13;ARE;;Eid al-Adha (Feast of the Sacrifice, est.);0
2019-08-31;;ARE;;Al Hijra (Islamic New Year, est.);0
2019-11-10;;ARE;;Mouloud (Prophet's Birthday, est.);0
2019-12-02;;ARE;;National Day;0
2020-01-01;;ARE;;New Year's Day;0
2020-03-22;;ARE;;Leilat al Mi'raj (Ascension of the Prophet, est.);0
2020-04-24;;ARE;;First of Ramadan (est.);100
2020-05-24;2020-05-29;ARE;;Eid al Fitr (End of Ramadan, est.);0
2020-07-31;2020-08-02;ARE;;Eid al-Adha (Feast of the Sacrifice, est.);0
2020-08-20;;ARE;;Al Hijra (Islamic New Year, est.);0
2020-10-29;;ARE;;Mouloud (Prophet's Birthday, est.);0
2020-12-02;;ARE;;National Day;0
