date_from;date_until;country_name;region_name;description;work
2017-01-01;;AUT;;Neujahr (German: New Year's Day);0
2017-01-06;;AUT;;Heilige Drei Könige (German: Epiphany);0
2017-04-16;2017-04-17;AUT;;Ostern (German: Easter);0
2017-05-01;;AUT;;Staatsfeiertag (German: International Workers' Day);0
2017-05-25;;AUT;;Christi Himmelfahrt (German: Feast of the Ascension);0
2017-06-04;2017-06-05;AUT;;Pfingsten (German: Pentecost);0
2017-06-15;;AUT;;Fronleichnam (German: Feast of Corpus Christi);0
2017-08-15;;AUT;;Mariä Himmelfahrt (German: Assumption of Mary);0
2017-10-26;;AUT;;Nationalfeiertag (German: National Holiday);0
2017-11-01;;AUT;;Allerheiligen (German: All Saints' Day);0
2017-12-08;;AUT;;Mariä Empfängnis (German: Immaculate Conception);0
2017-12-25;2017-12-26;AUT;;Christtag/Stephanitag (German: Christmas);0
2018-01-01;;AUT;;Neujahr (German: New Year's Day);0
2018-01-06;;AUT;;Heilige Drei Könige (German: Epiphany);0
2018-04-01;2018-04-02;AUT;;Ostern (German: Easter);0
2018-05-01;;AUT;;Staatsfeiertag (German: International Workers' Day);0
2018-05-10;;AUT;;Christi Himmelfahrt (German: Feast of the Ascension);0
2018-05-20;2018-05-21;AUT;;Pfingsten (German: Pentecost);0
2018-05-31;;AUT;;Fronleichnam (German: Feast of Corpus Christi);0
2018-08-15;;AUT;;Mariä Himmelfahrt (German: Assumption of Mary);0
2018-10-26;;AUT;;Nationalfeiertag (German: National Holiday);0
2018-11-01;;AUT;;Allerheiligen (German: All Saints' Day);0
2018-12-08;;AUT;;Mariä Empfängnis (German: Immaculate Conception);0
2018-12-25;2018-12-26;AUT;;Christtag/Stephanitag (German: Christmas);0
2019-01-01;;AUT;;Neujahr (German: New Year's Day);0
2019-01-06;;AUT;;Heilige Drei Könige (German: Epiphany);0
2019-04-21;2019-04-22;AUT;;Ostern (German: Easter);0
2019-05-01;;AUT;;Staatsfeiertag (German: International Workers' Day);0
2019-05-30;;AUT;;Christi Himmelfahrt (German: Feast of the Ascension);0
2019-06-09;2019-06-10;AUT;;Pfingsten (German: Pentecost);0
2019-06-20;;AUT;;Fronleichnam (German: Feast of Corpus Christi);0
2019-08-15;;AUT;;Mariä Himmelfahrt (German: Assumption of Mary);0
2019-10-26;;AUT;;Nationalfeiertag (German: National Holiday);0
2019-11-01;;AUT;;Allerheiligen (German: All Saints' Day);0
2019-12-08;;AUT;;Mariä Empfängnis (German: Immaculate Conception);0
2019-12-25;2019-12-26;AUT;;Christtag/Stephanitag (German: Christmas);0
2020-01-01;;AUT;;Neujahr (German: New Year's Day);0
2020-01-06;;AUT;;Heilige Drei Könige (German: Epiphany);0
2020-04-12;2020-04-13;AUT;;Ostern (German: Easter);0
2020-05-01;;AUT;;Staatsfeiertag (German: International Workers' Day);0
2020-05-21;;AUT;;Christi Himmelfahrt (German: Feast of the Ascension);0
2020-05-31;2020-06-01;AUT;;Pfingsten (German: Pentecost);0
2020-06-11;;AUT;;Fronleichnam (German: Feast of Corpus Christi);0
2020-06-11;;AUT;;Fronleichnam (German: Feast of Corpus Christi);0
2020-08-15;;AUT;;Mariä Himmelfahrt (German: Assumption of Mary);0
2020-10-26;;AUT;;Nationalfeiertag (German: National Holiday);0
2020-11-01;;AUT;;Allerheiligen (German: All Saints' Day);0
2020-12-08;;AUT;;Mariä Empfängnis (German: Immaculate Conception);0
2020-12-25;2020-12-26;AUT;;Christtag/Stephanitag (German: Christmas);0
