date_from;date_until;country_name;region_name;description;work
2017-01-01;;GER;;Neujahrstag (German: New Year's Day);0
2017-01-06;;GER;BW;Heilige Drei Könige (German: Epiphany);0
2017-01-06;;GER;BY;Heilige Drei Könige (German: Epiphany);0
2017-01-06;;GER;ST;Heilige Drei Könige (German: Epiphany);0
2017-04-14;;GER;;Karfreitag (German: Good Friday);0
2017-04-16;2017-04-17;GER;;Ostern (German: Easter);0
2017-05-01;;GER;;Tag der Arbeit (German: International Workers' Day);0
2017-05-25;;GER;;Christi Himmelfahrt (German: Feast of the Ascension);0
2017-06-04;2017-06-05;GER;;Pfingsten (German: Pentecost);0
2017-06-15;;GER;BW;Fronleichnam (German: Feast of Corpus Christi);0
2017-06-15;;GER;BY;Fronleichnam (German: Feast of Corpus Christi);0
2017-06-15;;GER;HE;Fronleichnam (German: Feast of Corpus Christi);0
2017-06-15;;GER;NW;Fronleichnam (German: Feast of Corpus Christi);0
2017-06-15;;GER;RP;Fronleichnam (German: Feast of Corpus Christi);0
2017-06-15;;GER;SL;Fronleichnam (German: Feast of Corpus Christi);0
2017-08-15;;GER;SL;Mariä Himmelfahrt (German: Assumption of Mary);0
2017-10-03;;GER;;Tag der Deutschen Einheit (German: Day of German Unity);0
2017-10-31;;GER;;Reformationstag (German: Reformation Day);0
2017-11-01;;GER;BW;Allerheiligen (German: All Saints' Day);0
2017-11-01;;GER;BY;Allerheiligen (German: All Saints' Day);0
2017-11-01;;GER;NW;Allerheiligen (German: All Saints' Day);0
2017-11-01;;GER;RP;Allerheiligen (German: All Saints' Day);0
2017-11-01;;GER;SL;Allerheiligen (German: All Saints' Day);0
2017-11-22;;GER;SN;Buß- und Bettag (German: Day of Repentance and Prayer);0
2017-12-25;2017-12-26;GER;;Weihnachten (German: Christmas);0
2018-01-01;;GER;;Neujahrstag (German: New Year's Day);0
2018-01-06;;GER;BW;Heilige Drei Könige (German: Epiphany);0
2018-01-06;;GER;BY;Heilige Drei Könige (German: Epiphany);0
2018-01-06;;GER;ST;Heilige Drei Könige (German: Epiphany);0
2018-03-30;;GER;;Karfreitag (German: Good Friday);0
2018-04-01;2018-04-02;GER;;Ostern (German: Easter);0
2018-05-01;;GER;;Tag der Arbeit (German: International Workers' Day);0
2018-05-10;;GER;;Christi Himmelfahrt (German: Feast of the Ascension);0
2018-05-20;2018-05-21;GER;;Pfingsten (German: Pentecost);0
2018-05-31;;GER;BW;Fronleichnam (German: Feast of Corpus Christi);0
2018-05-31;;GER;BY;Fronleichnam (German: Feast of Corpus Christi);0
2018-05-31;;GER;HE;Fronleichnam (German: Feast of Corpus Christi);0
2018-05-31;;GER;NW;Fronleichnam (German: Feast of Corpus Christi);0
2018-05-31;;GER;RP;Fronleichnam (German: Feast of Corpus Christi);0
2018-05-31;;GER;SL;Fronleichnam (German: Feast of Corpus Christi);0
2018-08-15;;GER;SL;Mariä Himmelfahrt (German: Assumption of Mary);0
2018-10-03;;GER;;Tag der Deutschen Einheit (German: Day of German Unity);0
2018-10-31;;GER;BB;Reformationstag (German: Reformation Day);0
2018-10-31;;GER;MV;Reformationstag (German: Reformation Day);0
2018-10-31;;GER;SN;Reformationstag (German: Reformation Day);0
2018-10-31;;GER;ST;Reformationstag (German: Reformation Day);0
2018-10-31;;GER;TH;Reformationstag (German: Reformation Day);0
2018-11-01;;GER;BW;Allerheiligen (German: All Saints' Day);0
2018-11-01;;GER;BY;Allerheiligen (German: All Saints' Day);0
2018-11-01;;GER;NW;Allerheiligen (German: All Saints' Day);0
2018-11-01;;GER;RP;Allerheiligen (German: All Saints' Day);0
2018-11-01;;GER;SL;Allerheiligen (German: All Saints' Day);0
2018-11-21;;GER;SN;Buß- und Bettag (German: Day of Repentance and Prayer);0
2018-12-25;2018-12-26;GER;;Weihnachten (German: Christmas);0
2019-01-01;;GER;;Neujahrstag (German: New Year's Day);0
2019-01-06;;GER;BW;Heilige Drei Könige (German: Epiphany);0
2019-01-06;;GER;BY;Heilige Drei Könige (German: Epiphany);0
2019-01-06;;GER;ST;Heilige Drei Könige (German: Epiphany);0
2019-04-19;;GER;;Karfreitag (German: Good Friday);0
2019-04-21;2019-04-22;GER;;Ostern (German: Easter);0
2019-05-01;;GER;;Tag der Arbeit (German: International Workers' Day);0
2019-05-30;;GER;;Christi Himmelfahrt (German: Feast of the Ascension);0
2019-06-09;2019-06-10;GER;;Pfingsten (German: Pentecost);0
2019-06-20;;GER;BW;Fronleichnam (German: Feast of Corpus Christi);0
2019-06-20;;GER;BY;Fronleichnam (German: Feast of Corpus Christi);0
2019-06-20;;GER;HE;Fronleichnam (German: Feast of Corpus Christi);0
2019-06-20;;GER;NW;Fronleichnam (German: Feast of Corpus Christi);0
2019-06-20;;GER;RP;Fronleichnam (German: Feast of Corpus Christi);0
2019-06-20;;GER;SL;Fronleichnam (German: Feast of Corpus Christi);0
2019-08-15;;GER;SL;Mariä Himmelfahrt (German: Assumption of Mary);0
2019-10-03;;GER;;Tag der Deutschen Einheit (German: Day of German Unity);0
2019-10-31;;GER;BB;Reformationstag (German: Reformation Day);0
2019-10-31;;GER;MV;Reformationstag (German: Reformation Day);0
2019-10-31;;GER;SN;Reformationstag (German: Reformation Day);0
2019-10-31;;GER;ST;Reformationstag (German: Reformation Day);0
2019-10-31;;GER;TH;Reformationstag (German: Reformation Day);0
2019-11-01;;GER;BW;Allerheiligen (German: All Saints' Day);0
2019-11-01;;GER;BY;Allerheiligen (German: All Saints' Day);0
2019-11-01;;GER;NW;Allerheiligen (German: All Saints' Day);0
2019-11-01;;GER;RP;Allerheiligen (German: All Saints' Day);0
2019-11-01;;GER;SL;Allerheiligen (German: All Saints' Day);0
2019-11-20;;GER;SN;Buß- und Bettag (German: Day of Repentance and Prayer);0
2019-12-25;2019-12-26;GER;;Weihnachten (German: Christmas);0
2020-01-01;;GER;;Neujahrstag (German: New Year's Day);0
2020-01-06;;GER;BW;Heilige Drei Könige (German: Epiphany);0
2020-01-06;;GER;BY;Heilige Drei Könige (German: Epiphany);0
2020-01-06;;GER;ST;Heilige Drei Könige (German: Epiphany);0
2020-04-10;;GER;;Karfreitag (German: Good Friday);0
2020-04-12;2020-04-13;GER;;Ostern (German: Easter);0
2020-05-01;;GER;;Tag der Arbeit (German: International Workers' Day);0
2020-05-21;;GER;;Christi Himmelfahrt (German: Feast of the Ascension);0
2020-05-31;2020-06-01;GER;;Pfingsten (German: Pentecost);0
2020-06-11;;GER;BW;Fronleichnam (German: Feast of Corpus Christi);0
2020-06-11;;GER;BY;Fronleichnam (German: Feast of Corpus Christi);0
2020-06-11;;GER;HE;Fronleichnam (German: Feast of Corpus Christi);0
2020-06-11;;GER;NW;Fronleichnam (German: Feast of Corpus Christi);0
2020-06-11;;GER;RP;Fronleichnam (German: Feast of Corpus Christi);0
2020-06-11;;GER;SL;Fronleichnam (German: Feast of Corpus Christi);0
2020-08-15;;GER;SL;Mariä Himmelfahrt (German: Assumption of Mary);0
