date_from;date_until;country_name;region_name;description;work
2017-01-01;;QAT;;New Year's Day;0
2017-02-14;;QAT;;National Sports Day;0
2017-03-05;;QAT;;Bank Holiday;0
2017-04-16;;QAT;;Easter Sunday;0
2017-05-27;;QAT;;First of Ramadan (est.);100
2017-06-25;2017-06-27;QAT;;Eid al-Fitr (End of Ramadan, est.);0
2017-08-15;;QAT;;Krishna Janmastami;0
2017-08-30;2017-09-01;QAT;;Eid al-Adha (Grand Bairam/Feast of Sacrifice, est.);0
2017-12-18;;QAT;;National Day;0
2017-12-25;;QAT;;Christmas Day;0
2018-01-01;;QAT;;New Year's Day;0
2018-02-13;;QAT;;National Sports Day;0
2018-03-04;;QAT;;Bank Holiday;0
2018-04-01;;QAT;;Easter Sunday;0
2018-05-16;;QAT;;First of Ramadan (est.);100
2018-06-15;2018-06-17;QAT;;Eid al-Fitr (End of Ramadan, est.);0
2018-08-21;2018-08-23;QAT;;Eid al-Adha (Grand Bairam/Feast of Sacrifice, est.);0
2018-09-03;;QAT;;Krishna Janmastami;0
2018-12-18;;QAT;;National Day;0
2018-12-25;;QAT;;Christmas Day;0
2019-01-01;;QAT;;New Year's Day;0
2019-02-12;;QAT;;National Sports Day;0
2019-03-03;;QAT;;Bank Holiday;0
2019-04-21;;QAT;;Easter Sunday;0
2019-05-06;;QAT;;First of Ramadan (est.);100
2019-06-05;2019-06-07;QAT;;Eid al-Fitr (End of Ramadan, est.);0
2019-08-11;2019-08-13;QAT;;Eid al-Adha (Grand Bairam/Feast of Sacrifice, est.);0
2019-08-23;;QAT;;Krishna Janmastami;0
2019-12-18;;QAT;;National Day;0
2019-12-25;;QAT;;Christmas Day;0
