code;description;sort_code
LIE;(Project Code) LIEGETRAM (Belgium/Liège)
ARH;(Project Code) Aarhus Letbane (Denmark/Aarhus)
SDL2;(Project Code) Santo Domingo Line 2 (Dominican Republic/Santo Domingo)
SDL2;(Project Code) Singapore Downtown Line 2 (Singapore)
QUI;(Project Code) Metro Quito (Ecuador/San Francisco de Quito)
ETN;(Project Code) Edinburgh Tram Network (Great Britain/Edinburgh)
DLF;(Project Code) Rapid Metrorail Gurgaon (India/Dehli)
DLF;Dehli Land & Finance (commercial real estate developer)
MDN;(Project Code) Metro Dublin North (Ireland/Dublin)
JJDPL;(Project Code) Beijing-Tianjin Dedicated Passenger Line (China)
HHR;(Project Code) Haramain High-Speed Railway (Saudi Arabia)
MMMP;(Project Code) Al Mashaaer Al Mugaddassah Metro Project (Saudi Arabia/Mecca)
RMS;(Project Code) Riyadh Metro System (Saudi Arabia/Riyadh)
AMG;(Project Code) Ampang Line (Malaysia/Kuala Lumpur)
LUS;(Project Code) Lusail Light Rail Transit Project (Qatar/Doha)
QEC;(Project Code) Qatar Education City (Qatar/Doha)
QMD;(Project Code) Qatar Metro Doha (Qatar/Doha)
BLE;(Project Code) Blue Line Extension (Thailand/Bangkok)
RMGL;(Project Code) Rapid Metrorail Gurgaon Line (India/Dehli)
ARL;(Project Code) Airport Rail Link (Thailand/Bangkok)
PUL;(Project Code) Purple Line (Thailand/Bangkok)
RED;(Project Code) Red Line (Thailand/Bangkok)
SMTP;(Project Code) Shanghai Maglev Train Project (China/Shanghai)
ERP2;(Project Code) Etihad Rail Project Phase 2 (United Arab Emirates/Abu Dhabi)
GDJ;(Project Code) Guadalajara (Mexico/Guadalajara)
TLV;(Project Code) Light Rail Transit Tel Aviv (Israel/Tel Aviv)
KVM;(Project Code) Klang Valley Mass Rapid Transit (Malaysia/Kuala Lumpur)
QRO;(Project Code) Mexico City - Querétaro High-Speed Line (Mexico)
