code;label;active;master;standard;heading;note
$A;Environment, Health and Safety;TRUE;TRUE;TRUE;FALSE;
$C;Commercial Management;TRUE;TRUE;TRUE;FALSE;
$CA;Administration;TRUE;TRUE;TRUE;FALSE;
$CAD;Inventory (Physical);TRUE;TRUE;TRUE;FALSE;
$CAG;Site Cash Box;TRUE;TRUE;TRUE;FALSE;
$CAH;Bank Account;TRUE;TRUE;TRUE;FALSE;
$CAN;Insurances;TRUE;TRUE;TRUE;FALSE;
$CAP;Project Personnel;TRUE;TRUE;TRUE;FALSE;
$CAR;Project Regulations;TRUE;TRUE;TRUE;FALSE;
$CAT;Travel Management;TRUE;TRUE;TRUE;FALSE;
$CC;Contract Management;TRUE;TRUE;TRUE;FALSE;
$CCA;General Contract Administration;TRUE;TRUE;TRUE;FALSE;
$CCB;Claim Management;TRUE;TRUE;TRUE;FALSE;
$CCC;Change Management;TRUE;TRUE;TRUE;FALSE;
$CE;Purchasing;TRUE;TRUE;TRUE;FALSE;
$CF;Financing;TRUE;TRUE;TRUE;FALSE;
$CFA;Finance Agreements;TRUE;TRUE;TRUE;FALSE;
$CFB;Guarantees;TRUE;TRUE;TRUE;FALSE;
$CFC;Commissionis;TRUE;TRUE;TRUE;FALSE;
$CFE;Exchange Risks, Hedging;TRUE;TRUE;TRUE;FALSE;
$CFL;Liabilities;TRUE;TRUE;TRUE;FALSE;
$CFN;Invoicing;TRUE;TRUE;TRUE;FALSE;
$CFO;Overviews;TRUE;TRUE;TRUE;FALSE;
$CFT;Taxes, Fees;TRUE;TRUE;TRUE;FALSE;
$CL;Logistics;TRUE;TRUE;TRUE;FALSE;
$CLF;Forwarding, Site Orders;TRUE;TRUE;TRUE;FALSE;
$CM;Financial Assets Management;TRUE;TRUE;TRUE;FALSE;
$CP;Project Controlling;TRUE;TRUE;TRUE;FALSE;
$CPC;Cost Control;TRUE;TRUE;TRUE;FALSE;
$CPF;Planning, Forecards;TRUE;TRUE;TRUE;FALSE;
$CPK;External Reporting;TRUE;TRUE;TRUE;FALSE;
$M;Overall Project Management;TRUE;TRUE;TRUE;FALSE;
$MA;Information Security;TRUE;TRUE;TRUE;FALSE;
$MB;Requirement Management;TRUE;TRUE;TRUE;FALSE;
$MC;Consortium Management;TRUE;TRUE;TRUE;FALSE;
$MD;Document Management;TRUE;TRUE;TRUE;FALSE;
$MG;General Project Management;TRUE;TRUE;TRUE;FALSE;
$ML;Consent Management;TRUE;TRUE;TRUE;FALSE;
$MN;IT Management;TRUE;TRUE;TRUE;FALSE;
$MP;Customer and Public Relations;TRUE;TRUE;TRUE;FALSE;
$MQ;Risk Management;TRUE;TRUE;TRUE;FALSE;
$MR;Reporting;TRUE;TRUE;TRUE;FALSE;
$MT;Progress Control (Schedule);TRUE;TRUE;TRUE;FALSE;
$Q;Quality Management;TRUE;TRUE;TRUE;FALSE;
$S;Service;TRUE;TRUE;TRUE;FALSE;
$T;Technical Management;TRUE;TRUE;TRUE;FALSE;
$TA;Acceptance;TRUE;TRUE;TRUE;FALSE;
$TC;Project Coordination;TRUE;TRUE;TRUE;FALSE;
$TE;System Engineering;TRUE;TRUE;TRUE;FALSE;
$TEA;System Assurance;TRUE;TRUE;TRUE;FALSE;
$TEB;Operation Concept;TRUE;TRUE;TRUE;FALSE;
$TEC;Design and Changes;TRUE;TRUE;TRUE;FALSE;
$TED;Integrated Design;TRUE;TRUE;TRUE;FALSE;
$TEE;EMV/EMC Management;TRUE;TRUE;TRUE;FALSE;
$TEF;Software Management;TRUE;TRUE;TRUE;FALSE;
$TEG;Allocation System Platform;TRUE;TRUE;TRUE;FALSE;
$TEL;Overall System Layout;TRUE;TRUE;TRUE;FALSE;
$TEM;Preparation of Operation;TRUE;TRUE;TRUE;FALSE;
$TEN;Design Standards;TRUE;TRUE;TRUE;FALSE;
$TEP;Coordination Spare Parts;TRUE;TRUE;TRUE;FALSE;
$TER;Trial Running;TRUE;TRUE;TRUE;FALSE;
$TES;System Studies;TRUE;TRUE;TRUE;FALSE;
$TET;System Integration Tests;TRUE;TRUE;TRUE;FALSE;
$TEX;Safety Management;TRUE;TRUE;TRUE;FALSE;
$TEY;System Demonstration;TRUE;TRUE;TRUE;FALSE;
$TM;Maintenance;TRUE;TRUE;TRUE;FALSE;
$TN;Interface Management;TRUE;TRUE;TRUE;FALSE;
$TP;Operation;TRUE;TRUE;TRUE;FALSE;
$TR;Implementation;TRUE;TRUE;TRUE;FALSE;
$TRB;Site Management;TRUE;TRUE;TRUE;FALSE;
$TRC;Commissioning Management;TRUE;TRUE;TRUE;FALSE;
$TRL;Site Storage Management;TRUE;TRUE;TRUE;FALSE;
$TRM;Manufacturing Coordination;TRUE;TRUE;TRUE;FALSE;
$TRP;Site Project Management;TRUE;TRUE;TRUE;FALSE;
$TRS;Security Management;TRUE;TRUE;TRUE;FALSE;
$TT;Training;TRUE;TRUE;TRUE;FALSE;
