code;description
AFNOR;Association Française de Normalisation (French: French Association for Standardization)
AHRI;Air-Conditioning, Heating and Refrigeration Institute
ANSI;American National Standards Institute
AOQ;Australian Organisation for Quality
ASME;American Society of Mechanical Engineers
ASQ;American Society for Quality
ASTM;American Society for Testing and Materials
BSI;British Standards Institution
CEN;Comité Européen de Normalisation (French: European Committee for Standardization)
CENELEC;Comité Européen de Normalisation Électrotechnique (French: European Committee for Electrotechnical Standardization)
DAfStB;Deutscher Ausschuss für Stahlbeton (German: German Association for Steel-Reinforced Concrete)
DASt;Deutscher Ausschuss für Stahlbau (German: German Association for Structural Steelwork)
DB;Deutsche Bahn AG (German: German Railway Company)
DIN;Deutsches Institut für Normung (German: German Institute for Standardization)
EAB;Empfehlungen des Arbeitskreises Baugruben (German: Recommendations of the Working Group for Excavations)
EAU;Empfehlungen des Ausschusses für Ufereinfassungen (German: Recommendations of the Committee for Waterfront Structures, Harbors and Waterways)
EU;European Union
EIRENE;European Integrated Radio Enhanced Network
EOTA;European Organization for Technical Approval
ETSI;European Telecommunications Standards Institute
EPUK;Environmental Protection United Kingdom
FIDIC;Fédération Internationale des Ingénieurs-Conseils (French: International Federation of Consulting Engineers)
IAQM;Institute of Air Quality Mangement
ICNIRP;International Commission on Non-Ionising Radiation Protection
IEC;International Electrotechnical Commission
IEEE;Institute of Electrical and Electronics Engineers
IFEG;International Fire Engineer Guideline
ILAG;International Laboratory Accreditation Cooperation
ILO;International Labour Organisation
IPMA;International Project Management Association
IRIS;International Railways Industry Standard
ISO;name of the International Organization for Standardization
ITU;International Telecommunication Union
ITU-T;International Telecommunication Union - Telecommunication Standardization Sector
ITU-R;International Telecommunication Union - Radiocommunication Standardization Sector
IUCN;International Union for Conservation of Nature
NFPA;National Fire Protection Agency (USA)
QCD;Qatar Civil Defence
UITP;Union International des Transport Public (French: International Union of Public Transport)
UNISIG;Union Industry of Signalling
USEPA;United States Environmental Protection Agency
ZTV;Zusätzliche Technische Vertragsbedingungen (German: Additional Technical Contract Conditions)
ZTV-BEL;Zusätzliche Technische Vorschriften und Richtlinien für die Herstellung von Brückenbelägen auf Beton (German: Additional Technical Rules and Regulations for Bridge Deck Construction on Concrete)
ZTV-ING;Zusätzliche Technische Vertragsbedingungen für Ingenieurbauwerke (German: Additional Technical Contract Conditions for Structural Engineering)
IFRG;International Financial Reporting Group
